Technology,Technology_TIMES
Air Compressors,ACOMP
Boiler Systems,BOILR
Burner (Direct Heat),BURNR
Compressors,COMPR
Electric Furnace,FURNC
Electric Motor,MOTOR
Electronics,ELCTR
Fan Systems,FAN
Feedstock,FDSTK
Furnace/Kiln,FURNC
Heat Exchangers,HEATX
Heat Pump (space heating),HPSH
Heat Pump (process heat),HPPH
HVAC,HVAC
Industrial Ovens,IOVEN
Internal Combustion Engine (Land Transport),ICENG
Lights,LIGHT
"Pump Systems (for Fluids, etc.)",PUMP
Refiners,REFIN
Reformer,BOILR
Refrigeration Systems,FRIDG
Resistance Heater,HEATR
Stationary Engine,ENGIN
Steam Generating Heat Pump (process heat),SGHP
Mechanical Vapour Recompression (MVR),MVR
Pulsed Electric Field,PEF
