techname,sets,tact,tcap
ADCF-MoTP-Mob-Trac-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Trac-H2R,DMD,PJ,GW
ADCF-MoTP-Mob-MTr-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-MTr-H2R,DMD,PJ,GW
ADCF-MoTP-Mob-Uti-ELC,DMD,PJ,GW
ADCF-MoTP-Mob-Uti-H2R,DMD,PJ,GW
ADCF-MoTP-Mob-Bike-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-Trac-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-Trac-H2R,DMD,PJ,GW
ALIVE-MoTP-Mob-MTr-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-MTr-H2R,DMD,PJ,GW
ALIVE-MoTP-Mob-Uti-ELC,DMD,PJ,GW
ALIVE-MoTP-Mob-Uti-H2R,DMD,PJ,GW
ALIVE-MoTP-Mob-Bike-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-Trac-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-Trac-H2R,DMD,PJ,GW
AHORT-MoTP-Mob-MTr-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-MTr-H2R,DMD,PJ,GW
AHORT-MoTP-Mob-Uti-ELC,DMD,PJ,GW
AHORT-MoTP-Mob-Uti-H2R,DMD,PJ,GW
AHORT-MoTP-Stat-Motor-ELC,DMD,PJ,GW
AINDC-SH-Boiler-WOD,DMD,PJ,GW
AINDC-SH-Boiler-ELC,DMD,PJ,GW
AINDC-SH-Boiler-H2R,DMD,PJ,GW
AINDC-SH-HP-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-GB-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-GB-H2R,DMD,PJ,GW
AFORE-MoTP-Mob-CY-ELC,DMD,PJ,GW
AFORE-MoTP-Mob-CY-H2R,DMD,PJ,GW
AFORE-MoTP-Mob-Bike-ELC,DMD,PJ,GW
ELC_WindFixOff_Southland,ELE,PJ,GW
ELC_WindFixOff_Taranaki,ELE,PJ,GW
